date,symbol,entry,target,stoploss,confidence,volume_ratio,outcome,days_held,regime,rsi,adx,macd_hist
2026-04-07,HCLTECH,1441.5999755859375,1665.095065881526,1352.2019394677022,0.655346659771262,0.9941266052762616,0,10,CHOPPY,,,
2026-04-07,THERMAX,3213.800048828125,3802.694480349765,2978.2422762194687,0.6012018377195412,0.578400457079891,1,4,CHOPPY,,,
2026-05-08,ABB,7012.5,8073.55176380316,6588.079294478736,0.997863233089447,0.9831603407816152,0,1,CHOPPY,52.28,30.37,-60.52491
2026-05-08,LUPIN,2379.5,2675.112706705155,2261.254917317938,0.7953449487686157,2.700622591529611,0,1,CHOPPY,56.15,12.7,10.30562
2026-05-08,BEL,439.70001220703125,487.9818925090898,420.38726008620785,0.9318057298660278,0.9398771619435844,0,2,CHOPPY,51.56,10.11,-0.6762
2026-05-08,INFY,1179.199951171875,1335.051507901162,1116.8593284801602,0.7973455786705017,0.5730589103761807,0,4,CHOPPY,38.87,26.22,-2.09196
2026-05-08,POWERGRID,313.95001220703125,345.7098807843088,301.24606477612025,0.7187829613685608,0.7705142831245154,0,3,CHOPPY,53.88,30.23,-1.18962
2026-05-08,TCS,2394.39990234375,2679.129867216776,2280.5079163945397,0.6599768400192261,0.9490243505568042,0,3,CHOPPY,38.59,22.79,-7.90144
2026-05-08,TECHM,1463.0,1660.2953406897248,1384.0818637241102,0.8184688091278076,0.5809915457703392,0,3,CHOPPY,52.89,14.49,0.45906
2026-05-08,WIPRO,197.91000366210938,217.5645841290315,190.04817147534052,0.804886519908905,0.6242814951725777,0,2,CHOPPY,43.94,15.38,-0.53017
2026-05-08,ASHOKLEY,168.57000732421875,197.0946365982203,157.16015561461813,0.938075602054596,0.7927493825149619,0,2,CHOPPY,48.88,16.88,0.48561
2026-05-08,FINCABLES,1141.300048828125,1358.432274142507,1054.4471587023722,0.6547744870185852,2.951103944732393,0,5,CHOPPY,81.91,40.89,12.70499
2026-05-11,KALYANKJIL,385.70001220703125,460.09422968593617,355.9423252154693,0.5704109072685242,3.1117500091972805,0,2,CHOPPY,38.29,12.29,-2.40991
2026-05-11,UPL,658.5499877929688,742.8610568777433,624.8255601590589,0.8577036261558533,0.5205755736547134,0,1,CHOPPY,62.21,13.57,2.17811
2026-05-11,BAJFINANCE,940.5,1066.2789800520468,890.1884079791813,0.6778578758239746,0.5374910684256088,0,2,CHOPPY,53.41,24.39,2.41186
2026-05-11,POWERGRID,311.25,342.20558353099113,298.86776658760357,0.7290921807289124,0.5971714464011945,0,2,CHOPPY,49.04,29.65,-1.49109
2026-05-11,ASHOKLEY,162.94000244140625,191.85930563061578,151.37228116572243,0.9314418435096741,0.6099773747251019,0,3,CHOPPY,43.1,16.44,0.25009
2026-05-11,FINCABLES,1151.800048828125,1374.3513921864574,1062.779511484792,0.550349771976471,0.9502649693019244,0,3,CHOPPY,82.58,43.25,14.5406
2026-05-11,INFY,1177.0,1327.0407399679348,1116.9837040128261,0.8656666874885559,0.580429052112937,0,3,CHOPPY,38.49,26.23,-0.37866
2026-05-11,TCS,2392.89990234375,2673.006298298542,2280.857343961833,0.6378087401390076,0.5531266352152678,0,2,CHOPPY,38.44,23.3,-7.91341
2026-05-11,TECHM,1457.4000244140625,1649.031403478077,1380.7474727884567,0.8276066780090332,0.5844647662177345,0,2,CHOPPY,51.81,13.86,0.15823
2026-05-12,POWERGRID,310.8999938964844,340.1623149193147,299.1950654873522,0.6432958841323853,0.8488683147402738,0,1,CHOPPY,48.48,28.97,-1.6802
2026-05-12,TCS,2392.89990234375,2659.391520851952,2286.3032549404693,0.6329014897346497,0.567196753798765,0,1,CHOPPY,38.44,23.77,-7.28117
2026-05-12,TECHM,1457.4000244140625,1639.0577422642411,1384.736937273991,0.8398863673210144,0.583679087918209,0,1,CHOPPY,51.81,13.1,-0.09601
2026-05-12,UPL,669.0,754.5311802988045,634.7875278804781,0.9085559248924255,3.4460872362964308,0,1,CHOPPY,60.49,14.47,2.43896
2026-05-12,KALYANKJIL,385.20001220703125,456.06607129458587,356.8535885720094,0.5541390180587769,4.173349619450524,0,1,CHOPPY,38.13,13.02,-3.50679
2026-05-12,ASHOKLEY,161.52000427246094,188.88282523587773,150.5748758870942,0.9313422441482544,0.8951556028430131,0,2,CHOPPY,41.85,16.27,-0.02938
2026-05-12,FINCABLES,1132.550048828125,1340.2762962322906,1049.4595498664587,0.6626668572425842,1.1381042871854758,0,3,CHOPPY,79.35,45.45,12.55103
